#{"t_start": 1764024509.8966324, "env_id": "None"}
r,l,t
-80.087425,12,5.284496
-50.83052,12,5.307725
-59.323355,12,5.319868
-127.510389,12,5.330867
-73.985321,12,5.334482
-7.72835,12,5.350816
-48.314703,12,5.361587
-77.654328,12,5.373278
-51.501738,12,5.386803
-59.449292,12,5.386803
-8.72734,12,5.411406
-52.652435,12,5.424839
-51.682813,12,5.434596
-5.841127,12,5.434596
-70.277185,12,5.457726
-74.49888,12,5.469312
-64.851376,12,5.482312
-44.594629,12,5.484781
-70.609222,12,5.507098
-77.426124,12,5.517459
-60.40463,12,5.527725
-66.386626,12,5.53442
-83.711141,12,5.549906
-51.96825,12,5.56056
-72.816975,12,5.570998
-41.203721,12,5.580997
-50.775614,12,5.593122
-37.364351,12,5.609528
-53.318863,12,5.62287
-48.618394,12,5.636588
-6.413552,12,5.650045
-42.203283,12,5.663232
-30.417283,12,5.667828
-92.619364,12,5.685776
-50.490321,12,5.700298
-42.073191,12,5.710544
-100.233001,12,5.724178
-108.487147,12,5.734174
-28.29799,12,5.734489
5.283483,12,5.759468
-23.398132,12,5.770691
-98.174552,12,5.78442
-62.400405,12,5.798248
-47.123826,12,5.811634
-79.15771,12,5.825225
-64.033762,12,5.834493
-86.946532,12,5.850321
-79.486906,12,5.860564
-97.899764,12,5.870748
-48.265788,12,5.880748
-47.052924,12,5.8881
-34.693187,12,5.905179
-89.457984,12,5.915195
-61.453436,12,5.925999
-62.123416,12,5.934679
-38.498008,12,5.950774
-45.345081,12,5.96055
-52.152571,12,5.971689
-12.277084,12,5.980825
-73.50396,12,5.986015
-80.990663,12,6.007483
-58.065345,12,6.020749
-78.398443,12,6.03353
-33.040247,12,6.043792
-11.909889,12,6.05869
-58.133599,12,6.07064
-85.028697,12,6.08064
-56.926013,12,6.086159
-52.99255,12,6.105941
-80.031865,12,6.116146
-60.464833,12,6.126642
-88.442257,12,6.138226
-47.007086,12,6.138226
-57.773785,12,6.158664
-96.864045,12,6.171165
-55.930445,12,6.181165
-40.23223,12,6.186642
-26.029563,12,6.203083
-69.95077,12,6.213614
6.78631,12,6.223712
-91.524451,12,6.234371
-67.006449,12,6.234371
-7.855082,12,6.256041
-21.857909,12,6.269722
-28.546723,12,6.282722
-12.016709,12,6.293988
-63.283836,12,6.307421
-61.001228,12,6.320666
-75.683281,12,6.330665
-78.443198,12,6.334226
-59.479695,12,6.355818
-89.00951,12,6.366413
-81.465947,12,6.377204
-56.675875,12,6.387752
-88.247964,12,6.387752
