#{"t_start": 1768159313.0936286, "env_id": "None"}
r,l,t
-300.647261,12,1.037211
-180.313879,12,1.045352
-269.461404,12,1.065612
-312.206809,12,1.077627
-293.491639,12,1.093893
-277.534533,12,1.107155
-290.969178,12,1.123328
-314.651604,12,1.137617
-277.138987,12,1.156086
-160.115825,12,1.168406
-289.330226,12,1.184152
-316.743886,12,1.199792
-248.517915,12,1.213727
-201.096105,12,1.227592
-217.577659,12,1.245572
-332.173762,12,1.260556
-323.653654,12,1.273901
-319.170115,12,1.29075
-292.937845,12,1.306062
-255.965299,12,1.322575
-295.910146,12,1.335569
-332.495477,12,1.355545
-324.794364,12,1.363772
-268.841648,12,1.388513
-318.263566,12,1.403593
-327.586225,12,1.415467
-288.42361,12,1.431455
-310.322677,12,1.446609
-295.649499,12,1.464347
-286.586386,12,1.477518
-319.484444,12,1.494628
-329.091554,12,1.510286
-223.325517,12,1.526634
-278.172437,12,1.539044
-308.13391,12,1.555954
-275.922501,12,1.570467
-284.195808,12,1.586613
-283.200722,12,1.60336
-316.548301,12,1.618412
-316.47501,12,1.635557
-240.703681,12,1.644455
-253.886872,12,1.664187
-289.199293,12,1.678469
-352.030574,12,1.692536
-299.498208,12,1.705978
-104.337102,12,1.722649
-227.326023,12,1.739094
-360.474234,12,1.745428
-304.299623,12,1.768153
-325.042505,12,1.784187
-319.89675,12,1.797664
-291.039492,12,1.815565
-321.438336,12,1.831555
-300.678776,12,1.846723
-214.783632,12,1.860331
-319.160006,12,1.874637
-334.794618,12,1.884678
-372.274903,12,1.900958
-342.388829,12,1.913154
-295.781421,12,1.930117
-352.810993,12,1.945093
-49.149137,12,1.960737
-243.521109,12,1.976135
-315.240219,12,1.987395
-236.795751,12,2.003097
-197.141622,12,2.018252
-179.25138,12,2.032097
-297.184841,12,2.052807
-186.829688,12,2.068867
-319.088436,12,2.084601
-295.259069,12,2.096358
-339.326508,12,2.114215
-106.030645,12,2.128841
-323.968559,12,2.144822
-206.993021,12,2.168305
-352.419728,12,2.185838
-239.559602,12,2.201497
-270.972737,12,2.216296
-250.214476,12,2.231032
-257.473245,12,2.244894
-281.63575,12,2.258959
-294.671406,12,2.267551
-226.327138,12,2.288636
-298.309038,12,2.305487
-342.204692,12,2.321156
-197.822057,12,2.33418
-344.241108,12,2.340256
-307.981289,12,2.360223
-253.517293,12,2.374611
-223.607958,12,2.388156
-333.890582,12,2.401511
-298.327477,12,2.414461
-150.424453,12,2.429702
-287.600394,12,2.443737
-356.198371,12,2.456755
-243.118425,12,2.47103
-363.779917,12,2.484069
-200.531266,12,2.496376
-213.487474,12,2.514522
-306.075923,12,2.527154
-367.600593,12,2.541045
-328.168604,12,2.555573
-332.606731,12,2.572753
-282.806936,12,2.586442
-337.261077,12,2.606567
-281.76701,12,2.622241
-389.974884,12,2.639849
-281.792478,12,2.657202
-426.358923,12,2.672244
-336.088664,12,2.686857
-229.714153,12,2.702579
-294.700489,12,2.716857
-343.184981,12,2.73148
-269.118826,12,2.746013
-351.805215,12,2.764181
-283.487239,12,2.782369
-103.978661,12,2.797513
-369.908365,12,2.813644
-315.523642,12,2.830148
-273.400754,12,2.843247
-307.482723,12,2.855927
-251.471392,12,2.865064
-298.402876,12,2.88544
-372.451872,12,2.89986
-251.14063,12,2.91655
-308.563467,12,2.934255
-344.306866,12,2.947776
-241.372831,12,2.962438
-265.239056,12,2.975438
-338.629835,12,2.99
-362.629317,12,3.00588
-242.799033,12,3.022923
-357.563263,12,3.038368
-341.895219,12,3.055795
-275.940946,12,3.068584
-215.907137,12,3.082183
-273.542868,12,3.096067
-287.138899,12,3.110451
-279.083713,12,3.123584
-196.401486,12,3.141759
-336.972197,12,3.155885
-269.209174,12,3.169604
-311.632443,12,3.184804
-219.880494,12,3.203028
-310.24856,12,3.219212
-354.842991,12,3.23522
-291.100442,12,3.252828
-388.291619,12,3.267661
-433.224379,12,3.277669
-311.289223,12,3.296026
-298.698574,12,3.310112
-365.658984,12,3.322243
-352.63086,12,3.336312
-277.522326,12,3.353212
-294.713804,12,3.367817
-384.49925,12,3.384528
-180.176148,12,3.400895
-204.785762,12,3.415411
-316.236388,12,3.429126
-246.258955,12,3.444678
-335.555426,12,3.457312
-227.316391,12,3.475
-329.253195,12,3.484836
-253.59938,12,3.508102
-333.056719,12,3.525362
-302.194966,12,3.541005
-259.442514,12,3.557106
-248.110685,12,3.570188
-220.674211,12,3.588601
-358.511548,12,3.60448
-260.526526,12,4.808175
-278.567547,12,4.822761
-378.010789,12,4.841897
-237.189548,12,4.85754
-227.5593,12,4.876916
-209.866137,12,4.895406
-316.084298,12,4.911484
-267.531922,12,4.927122
-371.957275,12,4.945925
-342.308991,12,4.962513
-341.35329,12,4.978276
-232.820305,12,4.994757
-233.824842,12,5.014247
-302.752045,12,5.028026
-287.305386,12,5.045456
-257.66507,12,5.060902
-339.302241,12,5.074953
-121.068191,12,5.094614
-198.895916,12,5.113505
-269.438373,12,5.128869
-227.653157,12,5.144028
-186.996182,12,5.159157
-167.372519,12,5.177344
-110.5975,12,5.191729
-270.349791,12,5.208264
-275.953312,12,5.228129
-226.168108,12,5.247768
-262.473046,12,5.262885
-264.525801,12,5.277598
-309.316324,12,5.294534
-293.964456,12,5.309059
-150.810255,12,5.329241
-199.321138,12,5.34622
-216.913759,12,5.361929
-405.216191,12,5.37689
-209.865418,12,5.394685
-349.528959,12,5.412029
-272.951251,12,5.431176
-255.002279,12,5.450011
-308.17467,12,5.465015
-207.095728,12,5.48186
-234.02522,12,5.498664
-232.224711,12,5.514944
-228.538952,12,5.528892
-300.200096,12,5.546826
-186.427353,12,5.560014
-344.46391,12,5.577894
-287.531852,12,5.594701
-323.0056,12,5.607621
-225.070764,12,5.628648
-266.132529,12,5.646381
-249.46722,12,5.665089
-343.094054,12,5.681596
-354.472229,12,5.698415
-304.268307,12,5.714455
-305.89605,12,5.732386
-137.117341,12,5.747597
-317.154616,12,5.76346
-341.09515,12,5.782527
-264.801487,12,5.800352
-308.893611,12,5.818397
-270.176,12,5.834982
-258.830107,12,5.854474
-359.941936,12,5.873715
-289.565109,12,5.887209
-283.803532,12,5.907059
-342.66496,12,5.920649
-258.488652,12,5.936134
-260.910867,12,5.953769
-187.541937,12,5.973041
-174.871528,12,5.990463
-200.352278,12,6.00818
-237.410112,12,6.027033
-253.137386,12,6.044567
-211.871455,12,6.062589
-270.966726,12,6.082731
-149.104125,12,6.10196
-162.344949,12,6.117636
-316.844807,12,6.133312
-257.983423,12,6.150856
-361.483868,12,6.169997
-307.991485,12,6.188803
-297.397029,12,6.206397
-289.928231,12,6.220811
-303.774272,12,6.235416
-320.441232,12,6.252077
-177.450889,12,6.268099
-295.146353,12,6.285042
-268.733994,12,6.300797
-281.131828,12,6.321325
-306.704621,12,6.337703
-195.816365,12,6.355028
-308.592959,12,6.370628
-307.402883,12,6.388548
-216.594002,12,6.407568
-328.952393,12,6.430615
-220.621033,12,6.448092
-336.999437,12,6.463492
-265.253486,12,6.479483
-242.828795,12,6.496947
-280.664271,12,6.517281
-272.087278,12,6.538193
-386.100389,12,6.556706
-297.249446,12,6.57284
-233.161052,12,6.588704
-289.759058,12,6.605924
-334.127748,12,6.62451
-221.953328,12,6.648108
-349.33305,12,6.664378
-297.086598,12,6.681749
-315.948781,12,6.698506
-284.168641,12,6.717752
-231.281133,12,6.736541
-231.49759,12,6.757251
-272.078064,12,6.778722
-220.969572,12,6.799379
-363.016007,12,6.816588
-316.339492,12,6.83601
-250.955883,12,6.858732
-174.26858,12,6.875814
-282.136074,12,6.891864
-273.093751,12,6.905542
-265.727033,12,6.941426
-302.562522,12,6.963344
-405.659184,12,6.987756
-216.309818,12,7.017613
-332.937494,12,7.035972
-224.327882,12,7.055506
-155.608253,12,7.074717
-352.602914,12,7.090144
-282.511267,12,7.108305
-286.579849,12,7.124307
-236.162195,12,7.138481
-256.6686,12,7.157195
-345.800283,12,7.177818
-256.723803,12,7.197415
-313.084315,12,7.215534
-136.889595,12,7.235633
-264.506504,12,7.253534
-226.962503,12,7.270209
-276.19817,12,7.284658
-195.588228,12,7.302155
-262.395238,12,7.319897
-268.372078,12,7.336625
-322.410457,12,7.353374
-300.747744,12,7.368859
-345.646027,12,7.384215
-294.485145,12,7.405737
-362.2533,12,7.422586
-284.245526,12,7.441128
-306.07867,12,7.456671
-99.723753,12,7.475507
-316.305575,12,7.491678
-218.168675,12,7.510396
-158.357358,12,7.530289
-231.675833,12,7.548684
-257.568335,12,7.564722
-187.54917,12,7.583995
-257.240582,12,7.602105
-157.074623,12,7.620141
-216.448163,12,7.635792
-202.959414,12,7.650158
-195.188386,12,7.664486
-311.181897,12,7.679543
-249.074235,12,7.695908
-291.027549,12,7.715114
-220.038845,12,7.732252
-261.646019,12,7.750211
-312.128563,12,7.768415
-222.412028,12,7.787587
-297.438825,12,7.805416
-116.117537,12,9.189663
-234.36084,12,9.209919
-318.207268,12,9.224175
-234.518502,12,9.239483
-288.190458,12,9.261856
-309.892318,12,9.277199
-177.396421,12,9.295923
-300.790095,12,9.311808
-158.625408,12,9.328715
-146.398688,12,9.348061
-308.58174,12,9.369979
-293.371659,12,9.387031
-284.031155,12,9.404988
-268.175593,12,9.421333
-258.845198,12,9.438463
-288.685718,12,9.46428
-205.262838,12,9.482372
-214.093745,12,9.499346
-171.260588,12,9.520054
-280.999099,12,9.537169
-112.261935,12,9.558569
-194.753478,12,9.578171
-265.940304,12,9.590777
-120.417094,12,9.611742
-256.966596,12,9.627361
-278.479522,12,9.646152
-305.94704,12,9.661796
-282.415334,12,9.679847
-238.912484,12,9.694634
-140.80923,12,9.713632
-215.533071,12,9.731924
-182.905609,12,9.747744
-300.531686,12,9.765009
-263.507196,12,9.781047
-243.846582,12,9.799441
-222.638845,12,9.815639
-159.590793,12,9.832792
-209.176705,12,9.848995
-259.280878,12,9.865665
-216.563691,12,9.883636
-248.984561,12,9.900607
-126.262042,12,9.916166
-180.641851,12,9.932984
-259.258619,12,9.949826
-201.880275,12,9.965186
-359.119272,12,9.980453
-241.597786,12,9.998732
-348.804599,12,10.015379
-158.118644,12,10.033957
-307.109767,12,10.055926
-306.453044,12,10.07205
-126.541655,12,10.086731
-207.221606,12,10.102967
-313.385158,12,10.121571
-257.218617,12,10.135471
-308.974404,12,10.154944
-176.823848,12,10.174938
-211.374876,12,10.191327
-193.270289,12,10.207226
-280.257921,12,10.22583
-155.064871,12,10.240221
-229.023323,12,10.261407
-293.435869,12,10.277462
-216.077503,12,10.297941
-61.952339,12,10.316237
-172.491742,12,10.332858
