#{"t_start": 1764011924.9821672, "env_id": "None"}
r,l,t
-83.61139,12,1.9013
4.079036,12,1.914403
-69.754317,12,1.933659
-77.28246,12,1.953976
-166.189914,12,1.978814
-106.376254,12,1.995634
-145.801777,12,2.016555
-101.766865,12,2.028729
-96.207205,12,2.052445
-20.607922,12,2.077867
-12.47356,12,2.092465
-99.751245,12,2.11443
-56.065842,12,2.127767
9.224871,12,2.141963
-109.663322,12,2.169888
-23.736889,12,2.193491
-146.41589,12,2.21364
-109.108614,12,2.228822
-38.386909,12,2.245159
-43.966649,12,2.264464
-73.324821,12,2.277685
1.643891,12,2.301865
-121.149671,12,2.3217
-36.826049,12,2.334741
-89.805816,12,2.350664
-107.502687,12,2.374492
-94.183765,12,2.390442
-65.0466,12,2.415303
-127.031944,12,2.434314
-137.042613,12,2.45075
-58.659099,12,2.466669
-85.812087,12,2.48404
-144.268085,12,2.500262
-73.558193,12,2.523607
-123.122009,12,2.533653
-90.843027,12,2.560423
-10.07403,12,2.577368
-164.271031,12,2.59411
17.747212,12,2.603114
-105.114067,12,2.628073
-11.587677,12,2.65019
-93.777532,12,2.664508
-54.453063,12,2.677677
-74.352924,12,2.683434
-120.917628,12,2.717359
-137.050998,12,2.738585
-108.640547,12,2.754128
-3.040417,12,2.772018
-82.81729,12,2.77809
-12.88214,12,2.80214
-25.448175,12,2.826826
-87.392244,12,2.848733
-80.688733,12,2.866818
-32.889728,12,2.883891
-123.024799,12,2.90014
17.05077,12,2.917517
-89.748362,12,2.933447
-92.522571,12,2.960911
-79.168633,12,2.983459
-142.690107,12,3.007395
-150.523769,12,3.032045
-85.274708,12,3.056595
-167.469801,12,3.074507
-12.423142,12,3.084013
-100.092155,12,3.106611
-64.494909,12,3.12826
-163.181836,12,3.133281
-53.525952,12,3.155109
-115.955127,12,3.183451
-141.492189,12,3.20052
-22.580894,12,3.216723
-117.189143,12,3.235941
-29.062222,12,3.2542
16.0404,12,3.272207
-84.682648,12,3.297662
-73.677118,12,3.318278
18.451077,12,3.333523
-80.707388,12,3.35509
-126.695109,12,3.373074
-136.22751,12,3.383358
-25.101862,12,3.41218
-61.763754,12,3.430627
-69.076778,12,3.448201
-70.841915,12,3.469519
-113.381083,12,3.484873
-58.083681,12,3.500443
17.818556,12,3.527752
-143.6198,12,3.533442
-15.447388,12,3.565105
-93.081743,12,3.582443
-48.007573,12,3.596687
-60.936168,12,3.616994
-122.30445,12,3.633341
-134.901643,12,3.656752
-67.439163,12,3.672179
-139.934318,12,3.691561
-72.327149,12,3.70245
-157.369642,12,3.727743
-57.700909,12,3.747653
-123.562342,12,3.767781
6.948375,12,3.78346
-97.82896,12,3.804106
-70.394325,12,3.82536
-123.683803,12,3.845227
-66.232175,12,3.859349
-77.755337,12,3.880151
17.449955,12,3.903885
-90.703222,12,3.920488
-98.318338,12,3.942685
19.123376,12,3.955952
-35.627298,12,3.976877
-130.224367,12,3.996178
-140.516812,12,4.014476
-14.972417,12,4.027762
-135.315159,12,4.051652
-149.583353,12,4.068074
-56.10757,12,4.089125
-130.205922,12,4.104861
-41.562106,12,4.128215
18.012338,12,4.136124
-79.001126,12,4.173488
-170.86617,12,4.184019
-134.456024,12,4.214581
-42.214898,12,4.233361
-90.126578,12,4.250462
-101.904021,12,4.271701
-64.288225,12,4.283885
-69.955659,12,4.314704
-79.241389,12,4.334981
-122.427357,12,4.351853
-3.238764,12,4.371616
15.72716,12,4.392817
-117.191374,12,4.417645
18.391259,12,4.436609
-136.588263,12,4.456861
-124.330149,12,4.472223
-53.638956,12,4.485901
-25.631476,12,4.516553
-10.763333,12,4.53599
-77.132436,12,4.551761
-80.289188,12,4.577929
-17.432091,12,4.593284
-115.441359,12,4.617112
-82.788568,12,4.634476
-56.913135,12,4.651113
-76.787813,12,4.667162
-142.141228,12,4.683393
16.416214,12,4.706696
-141.27485,12,4.722954
-112.006344,12,4.744764
-106.176727,12,4.766071
-68.671498,12,4.783851
-95.053587,12,4.800282
-78.697328,12,4.821871
-170.797838,12,4.833306
-120.561198,12,4.864697
-118.031409,12,4.885219
-93.188418,12,4.902422
-82.846103,12,4.921968
-59.815495,12,4.939268
-47.411458,12,4.957672
15.698627,12,4.978146
-120.487546,12,4.99743
-85.784068,12,5.01461
19.26276,12,5.02982
-43.21774,12,5.053539
-110.029878,12,5.071818
-111.057853,12,5.093978
-62.58255,12,5.112487
-66.634017,12,5.127577
-55.699369,12,7.178401
16.915783,12,7.198856
-49.092807,12,7.216245
-43.737765,12,7.233477
18.53903,12,7.251637
-9.032588,12,7.271455
-53.857283,12,7.283356
-0.45998,12,7.305555
-41.740129,12,7.322479
-88.535012,12,7.338027
-166.719581,12,7.354552
-30.692611,12,7.379235
-119.464732,12,7.401789
-109.580349,12,7.421529
-102.769663,12,7.435338
-34.687499,12,7.451357
-88.312557,12,7.472077
-61.428489,12,7.487573
18.185529,12,7.514419
-55.58105,12,7.533228
-140.74398,12,7.549627
-57.197172,12,7.566167
3.344123,12,7.582829
12.766197,12,7.603468
-118.795821,12,7.621534
-89.649128,12,7.635704
-8.3797,12,7.669419
-30.088881,12,7.686511
-18.638708,12,7.708733
-92.993815,12,7.7316
-21.78922,12,7.749009
-61.684631,12,7.764807
-26.986303,12,7.779645
