#{"t_start": 1768154143.7165148, "env_id": "None"}
r,l,t
-274.775933,12,1.350402
-215.734749,12,1.373831
-357.262744,12,1.396626
-342.853129,12,1.418939
-413.689825,12,1.443857
-428.600844,12,1.468139
-337.854352,12,1.491341
-353.716974,12,1.515677
-367.287272,12,1.534229
-182.613251,12,1.561876
-244.557823,12,1.583038
-362.241015,12,1.605347
-337.95632,12,1.628497
-186.521846,12,1.653504
-357.001509,12,1.683333
-202.928607,12,1.712895
-388.453264,12,1.734401
-381.737775,12,1.760814
-304.499587,12,1.782703
-222.582197,12,1.797769
-182.910843,12,1.824214
-163.230165,12,1.85033
-398.902006,12,1.873284
-174.407521,12,1.89676
-402.072695,12,1.923857
-256.973646,12,1.943082
-345.645245,12,1.967526
-387.01115,12,1.990109
-388.547192,12,2.011391
-352.418195,12,2.031231
-256.798529,12,2.053828
-373.33416,12,2.080143
-339.866996,12,2.107209
-264.796769,12,2.125889
-296.936966,12,2.145602
-306.217704,12,2.167425
-263.135003,12,2.187855
-344.910745,12,2.215214
-170.906472,12,2.23734
-283.511281,12,2.261139
-252.813039,12,2.283047
-340.087358,12,2.306657
-257.521178,12,2.334624
-232.708208,12,2.357087
-321.561997,12,2.381491
-413.362667,12,2.408268
-314.48056,12,2.438259
-228.652383,12,2.463439
-285.7855,12,2.485692
-245.216073,12,2.508734
-229.518923,12,2.524543
-316.649885,12,2.557793
-252.427126,12,2.57653
-255.295797,12,2.597301
-313.068608,12,2.620777
-189.951899,12,2.644795
-240.533856,12,2.668983
-292.856185,12,2.689299
-334.213327,12,2.71145
-344.863066,12,2.732733
-363.423764,12,2.753756
-356.356696,12,2.774458
-393.183033,12,2.797564
-298.781902,12,2.821524
-283.057414,12,2.847156
-269.495231,12,2.875755
-405.388537,12,2.896241
-196.101943,12,2.916669
-335.196224,12,2.943149
-311.478521,12,2.970068
-278.781459,12,2.997624
-349.932429,12,3.019862
-258.547162,12,3.0427
-174.454339,12,3.061438
-269.920257,12,3.087075
-272.492353,12,3.112477
-167.21447,12,3.135433
-258.234507,12,3.155862
-346.273148,12,3.183259
-322.605692,12,3.209285
-324.020907,12,3.232804
-372.4594,12,3.256427
-231.549254,12,3.279498
-320.999297,12,3.299356
-341.448156,12,3.323938
-271.75805,12,3.346025
-215.464173,12,3.361857
-390.946536,12,3.393746
-190.458111,12,3.415067
-256.926618,12,3.445083
-257.280925,12,3.465436
-388.087492,12,3.488272
-390.078197,12,3.509338
-385.144397,12,3.537729
-372.437134,12,3.555925
-371.747634,12,3.57796
-313.565147,12,3.594829
-398.207032,12,3.622429
-263.08089,12,3.645628
-319.562131,12,3.665549
-351.964213,12,3.688716
-344.120031,12,3.709327
-317.902189,12,3.733164
-398.734847,12,3.755104
-320.585467,12,3.771779
-414.146132,12,3.796021
-226.973186,12,3.81754
-374.031002,12,3.838232
-367.503847,12,3.864528
-72.139845,12,3.884757
-252.61357,12,3.906143
-305.867565,12,3.928072
-390.385506,12,3.955755
-184.299547,12,3.978151
-369.290708,12,3.996323
-411.40305,12,4.011722
-309.716138,12,4.039548
-327.036746,12,4.063735
-241.894451,12,4.083213
-108.382784,12,4.105393
-294.182708,12,4.123012
-325.723418,12,4.146456
-395.268243,12,4.169102
-298.432856,12,4.195609
-404.143943,12,4.216228
-355.042116,12,4.241287
-285.103066,12,4.259102
-211.512243,12,4.277895
-287.524019,12,4.300651
-348.511548,12,4.325468
-208.245517,12,4.34482
1.09274,12,4.368041
-355.915814,12,4.390745
-178.431113,12,4.417248
-405.181162,12,4.437832
-384.164838,12,4.463094
-201.717351,12,4.485684
-258.143595,12,4.510552
-212.300531,12,4.534282
-363.911414,12,4.556505
-293.925373,12,4.579132
-336.31616,12,4.600908
-477.660174,12,4.622063
-313.916561,12,4.648603
-387.164,12,4.668045
-351.93709,12,4.6903
-375.969985,12,4.71573
-185.656589,12,4.735125
-367.446919,12,4.759351
-367.142131,12,4.781103
-350.142791,12,4.804552
-417.889453,12,4.829807
-273.559629,12,4.848249
-295.704088,12,4.872952
-299.370797,12,4.890563
-278.822291,12,4.908997
-283.78978,12,4.929736
-335.644359,12,4.950629
-390.170604,12,4.975113
-236.004886,12,4.993449
-262.961189,12,5.01646
-138.633622,12,5.03977
-369.995302,12,5.061849
-362.446496,12,5.089916
-187.127631,12,5.113107
-255.542507,12,5.135375
-348.99764,12,5.161857
-276.170746,12,5.182985
-288.333955,12,5.211252
-309.019263,12,5.232898
-358.391788,12,7.223964
-203.709208,12,7.246784
-313.257525,12,7.272705
-227.334291,12,7.290412
-151.346218,12,7.311938
-224.053607,12,7.333355
-333.06072,12,7.355063
-172.780819,12,7.377576
-387.889679,12,7.396174
-265.377355,12,7.42447
-400.302604,12,7.449843
-185.376513,12,7.478357
-362.924015,12,7.501809
-397.71625,12,7.523811
-357.83604,12,7.549107
-261.972663,12,7.571851
-322.970458,12,7.600218
-222.897437,12,7.620829
-107.087527,12,7.644799
-247.034666,12,7.674114
-374.46801,12,7.699335
-301.920969,12,7.715588
-305.856895,12,7.745709
-149.120661,12,7.768421
-386.888918,12,7.787774
-272.17766,12,7.811242
-170.051467,12,7.837034
-241.759514,12,7.864445
-266.949918,12,7.889816
-466.82621,12,7.923002
-208.639439,12,7.945059
-240.219086,12,7.965732
-334.112611,12,7.990521
-376.442717,12,8.011432
-424.155265,12,8.036042
-436.478061,12,8.051955
-365.436112,12,8.076295
-275.371455,12,8.100433
-317.563048,12,8.124212
-302.879025,12,8.151051
-344.300117,12,8.173537
-220.668342,12,8.197161
-306.391318,12,8.220904
-316.850591,12,8.247737
-232.775229,12,8.2679
-242.159312,12,8.28954
-316.839413,12,8.311072
-211.401065,12,8.333044
-470.975872,12,8.35617
-407.122992,12,8.376482
-168.903936,12,8.39738
-261.253164,12,8.420146
-219.552952,12,8.444545
-364.524685,12,8.473161
-329.267093,12,8.497705
-289.650961,12,8.522073
-215.80255,12,8.54481
-221.007649,12,8.565539
-262.844901,12,8.59004
-356.66591,12,8.614517
-222.658382,12,8.637277
-245.787639,12,8.657699
-254.48511,12,8.674664
-417.82858,12,8.705401
-254.502803,12,8.730307
-406.452632,12,8.754441
-170.999376,12,8.780356
-317.65734,12,8.80636
-206.873468,12,8.832841
-350.433978,12,8.854362
-347.980988,12,8.875618
-289.412317,12,8.895789
-294.135524,12,8.922274
-284.347904,12,8.946609
-280.514922,12,8.971285
-308.371083,12,8.996454
-363.19135,12,9.025164
-354.781152,12,9.050722
-384.067292,12,9.079447
-202.302974,12,9.103217
-344.292625,12,9.127899
-279.344856,12,9.15677
-248.282918,12,9.180823
-306.370733,12,9.206032
-334.931884,12,9.236492
-292.599598,12,9.25911
-303.74672,12,9.28164
-249.074895,12,9.308543
-432.97023,12,9.334709
-331.872861,12,9.359681
-287.40367,12,9.382341
-270.494195,12,9.406237
-301.885292,12,9.427022
-383.556981,12,9.453768
-354.568579,12,9.477859
-297.957562,12,9.500284
-326.247111,12,9.527142
-316.503674,12,9.549495
-374.006894,12,9.575517
-328.124458,12,9.59977
-264.498933,12,9.621222
-198.922624,12,9.645501
-242.020124,12,9.663898
-366.230338,12,9.690432
-138.722272,12,9.713374
-255.656861,12,9.738
-208.056605,12,9.76334
-339.205669,12,9.788806
-302.863987,12,9.805008
-255.602783,12,9.831059
-318.531521,12,9.854312
-382.885145,12,9.87855
-353.024631,12,9.905071
-229.234593,12,9.927466
-314.39794,12,9.949922
-360.673475,12,9.973111
-271.610575,12,9.989376
-301.461695,12,10.022003
-368.359972,12,10.043065
-289.67792,12,10.06818
-350.022129,12,10.093087
-315.389033,12,10.12128
-339.701365,12,10.143861
-299.809826,12,10.172481
-280.882265,12,10.195269
-267.170458,12,10.21149
-433.585557,12,10.236007
-291.541648,12,10.256132
-340.283215,12,10.279055
-218.43497,12,10.302998
-266.005723,12,10.325715
-273.651386,12,10.349876
-198.785771,12,10.370358
-297.697102,12,10.391076
-373.430931,12,10.412652
-331.212235,12,10.432827
-282.490446,12,10.455339
-347.942151,12,10.47631
-228.291544,12,10.495211
-344.374422,12,10.515877
-286.190507,12,10.539452
-227.676808,12,10.559245
-386.207038,12,10.578156
-318.632926,12,10.598503
-382.160592,12,10.619126
-357.004799,12,10.639974
-236.36526,12,10.658782
-251.122138,12,10.682987
-376.732378,12,10.703947
-297.399932,12,10.724818
-264.377779,12,10.757873
-298.855825,12,10.791868
-362.75351,12,10.822154
-134.622443,12,10.858712
-446.608796,12,10.882965
-229.723025,12,10.914009
-255.351717,12,10.939919
-301.59701,12,10.962642
-297.609583,12,10.988082
-284.294027,12,11.009568
-313.932803,12,11.031765
-378.972843,12,11.051817
-381.478504,12,11.072028
-284.807102,12,11.088969
-277.446295,12,11.113971
-315.015089,12,11.134395
-315.689262,12,11.15494
-262.706016,12,11.175587
-368.87226,12,11.196815
-330.546544,12,11.223233
-310.970112,12,11.241998
-404.979669,12,13.319677
-347.102562,12,13.337139
-289.109601,12,13.367238
-200.700503,12,13.387784
-211.680382,12,13.411226
-300.961609,12,13.432258
-148.560956,12,13.454352
-100.260003,12,13.470829
-330.080892,12,13.501558
-232.506471,12,13.523936
-215.423275,12,13.545133
-211.603004,12,13.569044
-205.273611,12,13.597075
-237.421978,12,13.624017
-283.191216,12,13.64833
-242.73276,12,13.668164
-177.375149,12,13.689882
-291.756389,12,13.713658
-168.766383,12,13.740996
-137.598311,12,13.763454
-221.344607,12,13.781016
-312.631236,12,13.798877
-364.172144,12,13.821814
-231.554413,12,13.846212
-182.733734,12,13.871749
-282.843798,12,13.8922
-348.472283,12,13.912472
-380.671773,12,13.933483
-213.111133,12,13.954281
-308.143525,12,13.97727
-120.65491,12,13.999278
-356.593382,12,14.016403
-338.385312,12,14.036961
-120.106938,12,14.067748
-360.655732,12,14.088431
-412.751846,12,14.098985
-210.766068,12,14.125899
-370.918298,12,14.15088
-349.257334,12,14.177088
-265.08869,12,14.19191
-257.313762,12,14.220674
-262.541396,12,14.236662
-301.764038,12,14.263612
-288.172138,12,14.28681
-287.524422,12,14.311478
-242.699761,12,14.333143
-396.458779,12,14.356801
-356.310973,12,14.384394
-244.230103,12,14.404645
-281.957013,12,14.428326
-262.133746,12,14.454117
-276.318351,12,14.476436
-206.760859,12,14.503177
-311.247886,12,14.524881
-257.49611,12,14.546287
-249.788239,12,14.567937
-327.778765,12,14.589055
-281.121996,12,14.611206
-264.430893,12,14.633442
-123.456264,12,14.654755
-447.925215,12,14.675098
-297.066221,12,14.696439
-335.815034,12,14.718838
-449.161963,12,14.742621
-145.037454,12,14.768266
-330.342998,12,14.789613
-281.322869,12,14.815018
-282.952349,12,14.834197
-305.53546,12,14.856371
-241.441548,12,14.877026
-216.576313,12,14.900485
-277.294149,12,14.923599
-209.953189,12,14.950066
-447.100794,12,14.972221
-291.011954,12,14.992374
-306.864049,12,15.015186
-180.436789,12,15.037229
-344.994075,12,15.070118
-381.391361,12,15.092963
-234.097719,12,15.120359
-363.65539,12,15.148913
-330.834218,12,15.174841
-226.97457,12,15.200463
-127.943465,12,15.227761
-246.319936,12,15.25383
-392.752409,12,15.272421
-109.554872,12,15.296252
-319.901794,12,15.321211
-261.155795,12,15.344143
-406.50492,12,15.371125
-360.077472,12,15.398062
-292.204549,12,15.421052
-298.220529,12,15.438212
-331.635131,12,15.46577
-118.467252,12,15.490036
-218.671837,12,15.516273
-164.514658,12,15.54105
-352.330077,12,15.566786
-326.331424,12,15.591485
-330.153661,12,15.615835
-278.95672,12,15.634881
-331.872072,12,15.657887
-243.551467,12,15.6829
-306.632171,12,15.713919
-194.791291,12,15.739015
-360.779147,12,15.763589
-205.006422,12,15.786701
-255.338775,12,15.813729
-426.493613,12,15.834221
-373.587433,12,15.853916
-244.269167,12,15.877213
-248.66873,12,15.897271
-134.493864,12,15.921965
-270.214394,12,15.940598
-388.290947,12,15.964662
-370.879523,12,15.985814
-302.19259,12,16.008429
-285.55611,12,16.035414
-323.136349,12,16.054503
-312.702628,12,16.068746
-201.989467,12,16.099584
-379.21713,12,16.122123
-116.778362,12,16.14875
-107.260022,12,16.171116
-435.463919,12,16.193904
-319.766938,12,16.212607
-362.427207,12,16.243677
-209.244282,12,16.26402
-150.549883,12,16.294675
-317.251435,12,16.322054
-165.200951,12,16.348709
-85.671254,12,16.369006
-283.209895,12,16.387448
-117.334726,12,16.416027
-284.162842,12,16.438577
-344.982112,12,16.460972
-279.283261,12,16.483235
-241.323598,12,16.502929
-392.66123,12,16.523784
-56.423505,12,16.544626
-331.40271,12,16.566876
-343.945853,12,16.594482
-335.251801,12,16.61535
-334.508305,12,16.635722
-211.959221,12,16.660207
-375.775832,12,16.67885
-246.204307,12,16.706122
-293.15684,12,16.727439
-210.356174,12,16.744751
-371.888213,12,16.771848
-347.001441,12,16.798884
-144.559777,12,16.823536
-221.471376,12,16.848538
-303.400322,12,16.873294
-405.927674,12,16.893909
-246.746749,12,16.920331
-365.852195,12,16.941783
-411.549709,12,16.963384
-171.925534,12,16.985941
-329.402444,12,17.00855
-165.251807,12,17.034716
-395.558251,12,17.058771
-262.723185,12,17.079272
-481.790873,12,17.099918
-335.310277,12,17.120975
-365.254339,12,17.149808
-361.832522,12,17.172087
-154.152264,12,17.194355
-357.618643,12,17.216948
-47.880088,12,17.245771
-353.814618,12,17.272666
-250.373238,12,19.32326
-390.725141,12,19.341713
-128.999686,12,19.370899
-254.301925,12,19.39307
-213.987483,12,19.415609
-255.521916,12,19.44608
-303.639287,12,19.464481
-282.777773,12,19.48451
-313.178696,12,19.51515
-245.996322,12,19.53743
-336.238598,12,19.561512
-199.46541,12,19.589771
-330.360388,12,19.612442
-296.991133,12,19.640127
-195.143465,12,19.669574
-273.181574,12,19.69173
-167.013837,12,19.715783
-288.983418,12,19.74543
-251.032419,12,19.773841
-268.336539,12,19.794612
-295.302541,12,19.82039
-278.788572,12,19.843803
-45.967108,12,19.86455
-249.689379,12,19.888521
-256.058293,12,19.913209
-299.191273,12,19.936406
-302.653184,12,19.963876
-188.263173,12,19.99273
-277.56578,12,20.018145
-194.138142,12,20.041303
-368.149564,12,20.065243
-273.37663,12,20.088553
-182.047706,12,20.111344
-228.361878,12,20.130286
-285.793175,12,20.153001
-257.024343,12,20.175668
-346.947396,12,20.19605
-111.207336,12,20.217056
-199.246867,12,20.248297
-180.122179,12,20.272397
-318.590611,12,20.292973
-252.308356,12,20.324238
-204.983993,12,20.34717
-198.749618,12,20.368959
-211.301817,12,20.389675
-125.258314,12,20.411582
-342.841989,12,20.436138
-216.099861,12,20.45944
-236.575704,12,20.479661
-227.884244,12,20.499667
-416.138159,12,20.523174
-229.456588,12,20.549748
-196.447378,12,20.572451
-98.958565,12,20.595411
-241.415926,12,20.616192
-174.158342,12,20.637387
-329.796938,12,20.663616
-289.66716,12,20.685577
-241.203331,12,20.707799
-282.40977,12,20.727636
-277.727721,12,20.753876
-141.206549,12,20.776495
-249.16296,12,20.796789
-63.432336,12,20.820997
-255.053364,12,20.846745
-358.375788,12,20.864084
-216.207547,12,20.893473
-200.003686,12,20.915766
-361.025019,12,20.939119
-276.020195,12,20.961522
-385.701105,12,20.988192
-241.678294,12,21.01129
-266.668756,12,21.035086
-315.399557,12,21.055817
-287.252656,12,21.082762
-276.00123,12,21.103154
-134.446357,12,21.124254
-149.592527,12,21.148652
-101.466364,12,21.172243
-274.300357,12,21.198479
-205.012638,12,21.223727
-269.921523,12,21.264042
-176.406445,12,21.289949
-195.713575,12,21.331933
-358.901931,12,21.35042
-218.660379,12,21.380486
-251.160008,12,21.404802
-395.894256,12,21.431104
-290.000133,12,21.451729
-239.379558,12,21.476315
-287.682903,12,21.502954
-298.944409,12,21.531378
-168.426295,12,21.558039
-154.124039,12,21.585631
-374.682307,12,21.606278
-317.606188,12,21.628595
-95.462718,12,21.653446
-213.980472,12,21.674078
-241.978842,12,21.698392
-380.644915,12,21.720859
-240.029285,12,21.748215
-138.170431,12,21.770066
-178.887894,12,21.790951
-209.616069,12,21.811236
-366.25963,12,21.835544
-328.183076,12,21.861549
-268.105819,12,21.881522
-324.457035,12,21.902511
-141.428022,12,21.923182
-372.338636,12,21.946334
-242.477431,12,21.974779
-298.920633,12,21.997456
-324.632746,12,22.024442
-265.744195,12,22.049028
-170.622413,12,22.080357
-172.051198,12,22.10549
-129.643722,12,22.127003
-96.923407,12,22.14957
-281.032424,12,22.171185
-332.030024,12,22.197965
-141.415664,12,22.216856
-279.108404,12,22.242537
-197.435187,12,22.263919
-195.742685,12,22.288697
-347.121121,12,22.314062
-77.212039,12,22.338061
-239.112391,12,22.361508
-322.591918,12,22.382974
-295.274638,12,22.409414
-294.279458,12,22.437523
-204.075005,12,22.457349
-243.647327,12,22.481738
-229.402029,12,22.50763
-271.918199,12,22.536124
-281.258759,12,22.561273
-341.211736,12,22.588737
-349.073448,12,22.612532
-331.595511,12,22.639931
-198.858295,12,22.661687
-190.994379,12,22.685326
-386.566974,12,22.707099
-220.111542,12,22.727507
-141.064607,12,22.754093
-177.727051,12,22.768307
-227.617423,12,22.795077
-399.943741,12,22.816149
-282.413908,12,22.838212
-273.876517,12,22.863166
-354.643718,12,22.887377
-215.076282,12,22.912087
-256.634717,12,22.934235
-203.427668,12,22.961199
-250.429847,12,22.973866
-92.820759,12,23.004497
-256.36272,12,23.025291
-245.188038,12,23.045766
-333.81876,12,23.071924
-272.470436,12,23.094876
-222.850136,12,23.114903
-240.979072,12,23.13878
-280.763666,12,23.164413
-155.271366,12,23.187049
-168.669201,12,23.210672
-66.253645,12,23.230977
-118.182591,12,23.251498
-350.882354,12,23.273959
-184.093712,12,23.299239
-214.661756,12,23.320773
-214.465372,12,23.342631
-183.518137,12,23.36599
-345.245306,12,25.533219
-208.422869,12,25.559719
-82.575633,12,25.585025
-347.07329,12,25.612967
-309.464165,12,25.637146
-185.693314,12,25.662389
-267.640613,12,25.691129
-162.354143,12,25.726523
-117.735899,12,25.752089
-158.342467,12,25.779933
-38.305153,12,25.802634
-229.330226,12,25.838593
-149.121292,12,25.863631
-234.124221,12,25.883084
-125.225492,12,25.908494
-224.109219,12,25.945627
-197.687992,12,25.970827
-66.185249,12,25.995399
-174.268242,12,26.02257
-241.446447,12,26.056025
-105.732765,12,26.079286
-256.825818,12,26.10883
-66.639747,12,26.132612
-177.045275,12,26.163848
-229.824183,12,26.190338
-128.019222,12,26.215212
-105.375947,12,26.242584
-134.010677,12,26.270493
-216.449748,12,26.291567
-266.202447,12,26.322441
-191.311327,12,26.349816
-167.985378,12,26.382318
-257.264144,12,26.409678
-215.473428,12,26.4328
-149.581397,12,26.456431
-166.988519,12,26.488727
-277.210693,12,26.511894
-181.035787,12,26.536997
-384.990217,12,26.561417
-174.785343,12,26.585217
-186.784132,12,26.611347
-78.324793,12,26.636521
-89.404558,12,26.658724
-109.510741,12,26.686695
-270.185518,12,26.717624
-135.369057,12,26.738671
-179.614918,12,26.765744
-248.002072,12,26.794632
-229.34588,12,26.826174
-360.52835,12,26.849365
-120.062276,12,26.875875
-275.407623,12,26.900922
-259.508421,12,26.928876
-345.590692,12,26.954107
-125.191222,12,26.980852
-249.405715,12,27.005097
-335.858864,12,27.030475
-157.466115,12,27.061877
-169.832098,12,27.083589
-172.002833,12,27.114125
-287.437869,12,27.140093
-207.90208,12,27.165251
-168.149415,12,27.191177
-208.633953,12,27.218176
-204.543677,12,27.236702
-205.052057,12,27.275971
-281.199996,12,27.301566
-330.153613,12,27.330396
-284.517873,12,27.357398
-131.926949,12,27.38733
-222.740454,12,27.411829
-183.75236,12,27.439338
-266.479364,12,27.464283
-271.506691,12,27.496319
-193.294276,12,27.522509
-143.669248,12,27.544933
-181.318387,12,27.575489
-179.896487,12,27.608008
-89.136027,12,27.637012
-74.183905,12,27.661864
-182.525914,12,27.682903
-156.321876,12,27.713643
-140.447163,12,27.73545
-119.799837,12,27.751618
-258.3672,12,27.777754
-171.344077,12,27.804559
-206.695327,12,27.827231
-136.302948,12,27.848018
-182.758821,12,27.874265
-272.191926,12,27.899511
-208.73425,12,27.92858
-295.242756,12,27.952605
-112.719746,12,27.97437
-149.55284,12,27.997731
-163.319412,12,28.022224
-178.39656,12,28.044505
-183.437318,12,28.067539
-281.149231,12,28.091642
-219.431641,12,28.113259
-126.414658,12,28.141139
-166.759533,12,28.162412
-183.229618,12,28.181071
-209.299636,12,28.206312
-333.587122,12,28.224375
-103.617291,12,28.254892
-175.456394,12,28.275448
-261.332908,12,28.308487
-193.511678,12,28.333956
-82.339952,12,28.361201
-193.81399,12,28.383387
-259.81478,12,28.405731
-238.468525,12,28.427881
-167.995413,12,28.453892
-314.881861,12,28.480127
-190.799862,12,28.505098
-78.056572,12,28.530931
-207.397951,12,28.55327
-131.562022,12,28.579656
-69.722092,12,28.600342
-126.516641,12,28.622436
0.48935,12,28.645421
-158.39659,12,28.666145
-149.319694,12,28.690666
-227.185859,12,28.717274
-257.757537,12,28.744013
-194.903192,12,28.768529
-259.646157,12,28.798498
-298.303725,12,28.823314
-174.335766,12,28.851591
-15.582785,12,28.878259
-263.951854,12,28.908473
-156.539115,12,28.932872
-161.146713,12,28.959386
-293.500296,12,28.986541
-151.290386,12,29.019472
-218.060067,12,29.043876
-202.509382,12,29.064169
-24.487073,12,29.085502
-231.157965,12,29.103305
-203.457077,12,29.131679
-161.377297,12,29.152484
-180.859914,12,29.172743
-188.247172,12,29.193277
-201.239604,12,29.218133
-194.681146,12,29.243308
-115.782462,12,29.263934
-307.301326,12,29.284934
-279.314215,12,29.306251
-135.601964,12,29.325198
-180.952554,12,29.354044
-279.550721,12,29.374629
-279.614847,12,29.505078
-242.865778,12,29.531617
-314.689281,12,29.557651
-105.47062,12,29.580521
-148.246752,12,29.6042
-181.510782,12,29.623991
-184.17962,12,29.65255
-235.329592,12,29.679466
-250.882876,12,29.705769
-168.059973,12,29.727422
-96.7242,12,29.750724
-299.174968,12,29.777069
-237.414868,12,29.796726
-200.213147,12,29.81144
-279.988804,12,29.837788
-210.971468,12,29.860284
-163.689421,12,29.880593
-196.925123,12,29.911785
-130.123825,12,29.936029
-224.334763,12,29.958027
-371.995455,12,32.261665
-222.057165,12,32.288542
-173.710947,12,32.318973
-87.658731,12,32.346296
-302.184328,12,32.374956
-264.243577,12,32.393665
-193.152095,12,32.431146
-128.180699,12,32.458937
-74.117418,12,32.48334
-175.057562,12,32.511695
-93.842428,12,32.534949
-83.605379,12,32.569825
-161.592901,12,32.595629
-169.275113,12,32.619599
-217.621989,12,32.650558
-166.916702,12,32.676478
-168.484917,12,32.704629
-212.631218,12,32.740642
-229.822043,12,32.767463
-276.066823,12,32.796175
-17.245725,12,32.822954
-139.949509,12,32.85284
-198.351175,12,32.874809
-108.996776,12,32.902231
-274.729059,12,32.925089
-69.264568,12,32.957516
-194.819475,12,32.975517
-79.919954,12,33.009567
-203.551493,12,33.037242
-82.487866,12,33.057836
-201.908006,12,33.087525
-170.721835,12,33.112152
-101.464321,12,33.134562
-134.162691,12,33.161469
-7.329687,12,33.188997
-88.180498,12,33.217855
-272.023397,12,33.24211
-42.251461,12,33.268794
-116.697481,12,33.296245
-103.747887,12,33.329342
-119.831413,12,33.357522
-127.843957,12,33.383772
-64.281603,12,33.406984
-139.133759,12,33.435574
-88.478031,12,33.464135
-90.016319,12,33.494835
-109.923929,12,33.520267
-167.094216,12,33.554581
-63.045228,12,33.587088
-338.49632,12,33.616306
-266.750133,12,33.645979
-92.033593,12,33.678519
-156.745688,12,33.700368
-217.157875,12,33.730319
-235.427231,12,33.757807
-59.313923,12,33.785523
-155.020467,12,33.812039
-234.022088,12,33.84137
-157.095198,12,33.865678
-133.160172,12,33.897901
-183.547186,12,33.920692
-128.141315,12,33.950213
-95.775904,12,33.97725
-96.044416,12,34.005517
-130.642565,12,34.027739
-198.823547,12,34.050083
-75.45175,12,34.071413
-161.314621,12,34.100657
-66.63401,12,34.133706
-101.422255,12,34.163362
-179.448735,12,34.187719
1.408602,12,34.217086
-118.455393,12,34.246975
-13.895411,12,34.272014
-160.706629,12,34.303978
-244.535376,12,34.337825
-58.570795,12,34.365158
-184.93551,12,34.391634
-206.19015,12,34.421169
-250.453802,12,34.453061
-215.017962,12,34.47165
-301.754408,12,34.50063
-119.679539,12,34.529589
-93.262337,12,34.556574
-204.701494,12,34.578657
-173.866491,12,34.607945
-280.909406,12,34.636728
-303.981334,12,34.663462
-222.878407,12,34.692422
-162.678753,12,34.715259
-49.176603,12,34.744501
-67.599562,12,34.771254
-213.779345,12,34.797571
-274.214375,12,34.821849
-33.706326,12,34.851203
-153.051858,12,34.884821
-201.830402,12,34.907392
-145.048279,12,34.931235
-307.447503,12,34.956161
-216.056742,12,34.982808
-121.551569,12,35.011566
-197.74373,12,35.034927
7.46222,12,35.06504
-75.96064,12,35.096668
-48.816875,12,35.117632
-142.412697,12,35.148478
-75.564608,12,35.176111
-141.928353,12,35.195689
-137.337692,12,35.230481
-124.443621,12,35.257598
-112.774175,12,35.286259
-122.234475,12,35.314245
-246.706326,12,35.343464
-162.562678,12,35.365228
-9.449331,12,35.390713
-139.855424,12,35.411579
-226.761392,12,35.439142
-76.953483,12,35.466277
-37.753385,12,35.491254
-174.889983,12,35.515418
-140.092423,12,35.542086
-172.348273,12,35.567826
-109.181994,12,35.592502
-58.217392,12,35.617049
-155.703255,12,35.644499
-259.284759,12,35.666823
-144.446656,12,35.691581
-202.652286,12,35.715627
-138.358204,12,35.738153
