#{"t_start": 1764029237.9895027, "env_id": "None"}
r,l,t
-167.667849,12,0.996611
-8.652799,12,1.011853
-72.571179,12,1.024574
-121.547292,12,1.031344
-176.452325,12,1.051044
-93.56179,12,1.066424
-103.136191,12,1.070494
-153.417751,12,1.079937
-100.960341,12,1.102541
3.544655,12,1.115213
-117.778785,12,1.120455
-171.467433,12,1.129828
-62.444092,12,1.14655
-64.664449,12,1.157073
-71.439434,12,1.170461
-161.394289,12,1.179912
-177.982607,12,1.1964
-150.79807,12,1.206945
-156.537379,12,1.220429
-102.282406,12,1.233717
-169.104455,12,1.246318
-155.621921,12,1.257056
-207.726296,12,1.26788
-145.658192,12,1.280816
-68.59157,12,1.290568
-171.640484,12,1.304325
-163.765538,12,1.314885
-185.651408,12,1.335439
-140.617811,12,1.352517
-153.001338,12,1.369308
-104.507098,12,1.386233
-173.10512,12,1.398537
-49.907001,12,1.409625
-133.188364,12,1.420548
-165.690348,12,1.444365
-149.694261,12,1.466912
-98.180124,12,1.470423
-188.457306,12,1.488233
-151.672945,12,1.503042
-137.621828,12,1.514903
-120.235922,12,1.520412
-69.707087,12,1.531777
-220.001364,12,1.547503
-171.474124,12,1.557269
-208.329078,12,1.570247
8.372739,12,1.581263
-44.513933,12,1.591267
-182.154323,12,1.602783
-161.322321,12,1.613169
-151.405327,12,1.626837
-149.998248,12,1.640297
-127.329597,12,1.652305
-177.892686,12,1.66632
-110.217393,12,1.679336
-13.835159,12,1.689927
-110.46157,12,1.702049
-179.765871,12,1.714599
-201.557439,12,1.724367
-113.22224,12,1.731522
-194.172155,12,1.746136
-160.441819,12,1.746136
13.817022,12,1.764287
-112.231499,12,1.778539
-129.167836,12,1.779509
-101.496764,12,1.79718
-49.361968,12,1.807458
-44.591081,12,1.820272
-157.063494,12,1.829801
-24.014503,12,1.829801
-190.430561,12,1.847149
-104.293076,12,1.86695
-164.882418,12,1.880252
17.802236,12,1.89229
-115.647182,12,1.903429
-22.174555,12,1.914495
-155.892627,12,1.920662
