Stratégie,Reward Total,Coût Total,Service Moyen,Stock Moyen,Stock Final
level,8.85,999201.56,0.985,308.6,667.8
chase,-14.75,4185375.29,0.059,-869.0,-1505.0
fixed_moderate,-1.28,976375.46,0.733,-45.2,-56.2
