#{"t_start": 1768158445.438503, "env_id": "None"}
r,l,t
-263.284618,12,5.760977
-183.920139,12,5.774557
-351.535168,12,5.793659
-124.598327,12,5.808151
-129.083801,12,5.824175
-238.654461,12,5.838879
-204.03688,12,5.852728
-323.073167,12,5.865684
-332.396511,12,5.87774
-328.644239,12,5.893408
-301.854961,12,5.908028
-299.242414,12,5.919699
-303.031389,12,5.933449
-165.303546,12,5.947865
-253.26369,12,5.962161
-289.428933,12,5.973302
-283.144353,12,5.989481
-280.260355,12,6.002901
-183.762178,12,6.018145
-350.479598,12,6.028457
-401.43711,12,6.048174
-259.352601,12,6.062216
-317.580131,12,6.076075
-215.166316,12,6.089684
-310.832892,12,6.100191
-274.464506,12,6.11804
-177.854633,12,6.133458
-302.956753,12,6.149696
-254.748035,12,6.161284
-349.291847,12,6.176912
-250.721672,12,6.19199
-222.138352,12,6.204562
-232.866316,12,6.218131
-326.870772,12,6.233295
-199.501471,12,6.250329
-295.831744,12,6.266769
-317.267134,12,6.278365
-306.985048,12,6.297753
-306.483491,12,6.31405
-242.792891,12,6.330715
-245.701005,12,6.352161
-282.607468,12,6.367901
-255.298713,12,6.382743
-319.492197,12,6.39783
-292.182427,12,6.410987
-231.874997,12,6.423465
-153.097082,12,6.440173
-266.090748,12,6.456806
-317.093306,12,6.469629
-285.667619,12,6.479406
-326.15825,12,6.495501
-317.216595,12,6.510341
-229.551904,12,6.523066
-327.469415,12,6.538155
-215.012193,12,6.55996
-141.993038,12,6.580655
-339.52916,12,6.608425
-290.723142,12,6.633632
-267.954097,12,6.651304
-211.299001,12,6.678835
-291.55752,12,6.695867
-279.523198,12,6.711391
-249.158229,12,6.725971
-338.536573,12,6.742393
-193.940386,12,6.754304
-255.228599,12,6.767916
-233.489536,12,6.784817
-250.893704,12,6.798047
-174.306986,12,6.817789
-217.61394,12,6.82832
-284.341721,12,6.847767
-329.594684,12,6.86202
-373.646621,12,6.876945
-343.961364,12,6.895208
-233.673341,12,6.910953
-313.192941,12,6.925898
-322.217364,12,6.940917
-288.512577,12,6.955984
-119.977839,12,6.970567
-329.177427,12,6.98585
-209.819119,12,7.002501
-205.172216,12,7.016109
-224.134939,12,7.030218
-238.524523,12,7.045958
-141.686157,12,7.061132
-207.330572,12,7.074692
-191.618796,12,7.089517
-236.814436,12,7.105177
-209.058686,12,7.123433
-194.976924,12,7.144079
-336.532622,12,7.161945
-325.806826,12,7.175867
-240.369531,12,7.189674
-267.165853,12,7.19807
-318.252772,12,7.217972
-396.19851,12,7.229453
-255.753246,12,7.250101
-274.10573,12,7.264994
-137.490257,12,8.427216
-175.040555,12,8.440694
-369.551568,12,8.456363
-204.137912,12,8.470832
-268.723454,12,8.48432
-341.911105,12,8.497922
-159.725617,12,8.510896
-319.482419,12,8.527996
-73.935315,12,8.543017
-157.384845,12,8.557666
-300.47798,12,8.571664
-249.110874,12,8.582706
-276.994165,12,8.599038
-260.853632,12,8.613143
-252.722138,12,8.61972
-290.490304,12,8.640218
-246.604669,12,8.654179
-188.871994,12,8.668623
-228.492753,12,8.682737
-255.098586,12,8.700606
-111.83084,12,8.717762
-214.524114,12,8.734558
-314.419935,12,8.754412
-163.951163,12,8.769312
-247.010506,12,8.786791
-281.173991,12,8.797985
-303.904532,12,8.818103
-315.5987,12,8.831689
-214.45731,12,8.844326
-144.820288,12,8.858137
-246.446589,12,8.872216
-154.112748,12,8.884755
-311.884276,12,8.899847
-278.243145,12,8.912017
-255.098813,12,8.925752
-224.603518,12,8.939168
-139.195991,12,8.952227
-203.350716,12,8.966281
-244.061999,12,8.977747
-214.307768,12,8.989862
-254.613982,12,9.008122
-139.340109,12,9.021772
-164.13242,12,9.037897
-282.229867,12,9.048732
-215.995598,12,9.06343
-304.990072,12,9.080915
-233.827292,12,9.09412
-358.919349,12,9.09998
-114.180482,12,9.118106
-295.422134,12,9.133628
-329.381639,12,9.141795
-188.411949,12,9.161896
-247.721654,12,9.172976
-332.555492,12,9.189892
-260.763313,12,9.203536
-291.385239,12,9.217927
-253.849908,12,9.227858
-215.049621,12,9.248103
-253.614182,12,9.264721
-283.141282,12,9.277792
-143.643031,12,9.293143
-254.191205,12,9.310743
-279.872998,12,9.327823
-229.254333,12,9.342896
-89.584664,12,9.358941
-165.259484,12,9.373777
-212.11109,12,9.388035
-259.396962,12,9.411532
-255.308338,12,9.437906
-182.856219,12,9.465606
-99.717828,12,9.507749
-202.887259,12,9.531715
-263.665088,12,9.554538
-180.574954,12,9.570617
-273.305036,12,9.586384
-170.602012,12,9.599771
-284.756349,12,9.614257
-281.794394,12,9.630083
-205.539167,12,9.644533
-144.502966,12,9.659416
-213.143108,12,9.674473
-285.26263,12,9.688029
-81.890064,12,9.697742
-261.314594,12,9.718672
