#{"t_start": 1768142851.1166835, "env_id": "None"}
r,l,t
-103.546216,12,1.083225
-14.438249,12,1.100344
-85.595254,12,1.11152
-133.540336,12,1.125837
-138.21005,12,1.138497
-118.755029,12,1.148606
-162.514962,12,1.161363
-94.761409,12,1.17152
-133.79992,12,1.186266
-44.539205,12,1.197525
0.728901,12,1.206719
-120.741152,12,1.21825
-53.754668,12,1.227683
-2.237198,12,1.238944
-139.498158,12,1.249771
-24.383124,12,1.259783
-129.224272,12,1.270054
-150.24607,12,1.280293
-51.875589,12,1.292572
-34.164123,12,1.305247
-33.529406,12,1.317384
-6.243666,12,1.329896
-75.515927,12,1.341664
-31.373255,12,1.352659
-110.908812,12,1.365644
-90.192544,12,1.376672
-92.148079,12,1.386622
-47.527224,12,1.399763
-114.956667,12,1.419016
-151.437648,12,1.427031
-30.696602,12,1.44361
-92.961246,12,1.448255
-113.402177,12,1.468403
-73.702997,12,1.48052
-124.409849,12,1.495705
-96.19559,12,1.509739
-13.413562,12,1.524578
-121.215925,12,1.539339
7.935662,12,1.553229
-114.645142,12,1.561644
-13.714193,12,1.581813
-124.265051,12,1.592252
-15.365506,12,1.602428
-79.952845,12,1.612506
-91.244086,12,1.625464
-125.490592,12,1.633114
-145.580368,12,1.647443
-1.664495,12,1.657006
-107.728637,12,1.668048
-57.860824,12,1.680085
-50.959862,12,1.69065
-81.010372,12,1.69866
-62.601329,12,1.711209
-101.783831,12,1.719799
-114.857054,12,1.731356
5.262621,12,1.745718
-99.644272,12,1.75585
-107.41215,12,1.766499
-100.963005,12,1.778569
-115.253964,12,1.786887
-147.727092,12,1.807228
-63.551049,12,1.819654
-160.919928,12,1.831234
-33.47229,12,1.84196
-96.561433,12,1.853967
-65.513099,12,1.865507
-170.514958,12,1.876627
-36.610392,12,1.887156
-166.643279,12,1.899734
-141.530444,12,1.909782
-33.454922,12,1.920299
-121.624167,12,1.934901
-75.312685,12,1.947885
4.876902,12,1.961566
-85.131187,12,1.973403
-114.44714,12,1.985986
8.011728,12,1.997535
-104.69873,12,2.010327
-144.875961,12,2.021905
-143.317599,12,2.035481
-47.317687,12,2.046013
-81.946682,12,2.058067
-63.294992,12,2.07611
-59.052684,12,2.087168
-98.570001,12,2.099479
-55.062138,12,2.109235
6.530523,12,2.120505
-116.36715,12,2.130111
2.548363,12,2.140149
-121.550678,12,2.15171
-21.394159,12,2.160968
-51.620293,12,2.173044
-97.523377,12,2.185417
-124.289976,12,2.197617
-89.92433,12,2.208659
-106.358102,12,2.220726
-56.175706,12,2.230767
-141.165844,12,2.242832
-25.615939,12,2.253363
-150.43175,12,2.270909
3.214547,12,2.288081
-107.650022,12,2.301758
-55.532239,12,2.311338
-95.120773,12,2.320739
-44.610707,12,2.332819
-110.485453,12,2.338996
-10.023874,12,2.35176
-147.97949,12,2.367898
-139.384439,12,2.379511
8.519495,12,2.39006
-74.387173,12,2.401727
-121.579249,12,2.420651
-129.012029,12,2.43281
-10.076844,12,2.440823
-137.734995,12,2.450873
-155.18381,12,2.471526
-68.39727,12,2.483121
-132.696057,12,2.495047
-74.269409,12,2.502068
7.739539,12,2.521128
-80.887178,12,2.526729
-182.059283,12,2.542601
-84.369972,12,2.553765
-52.736487,12,2.564035
-134.297337,12,2.574698
-144.037573,12,2.584411
-58.212031,12,2.59462
-82.605211,12,2.605325
-89.461419,12,2.614841
-111.620265,12,2.629246
-18.950767,12,2.641403
6.530967,12,2.652648
