#{"t_start": 1768136036.7520623, "env_id": "None"}
r,l,t
-81.280542,12,1.189876
-0.683955,12,1.202448
-39.923793,12,1.209949
-63.929426,12,1.2266
-89.072222,12,1.237181
-47.581057,12,1.250139
-54.639549,12,1.26127
-77.600344,12,1.273024
-52.480584,12,1.289612
-3.055862,12,1.301845
-63.443224,12,1.31192
-92.60329,12,1.322312
-30.622828,12,1.332794
-40.067888,12,1.350002
-41.433332,12,1.362969
-88.391199,12,1.374454
-96.791737,12,1.388976
-75.471331,12,1.40147
-78.732771,12,1.414822
-67.164475,12,1.426147
-90.665122,12,1.437943
-79.676179,12,1.447479
-103.235036,12,1.462677
-80.090876,12,1.47322
-40.027293,12,1.485335
-85.536821,12,1.499071
-85.460439,12,1.512008
-91.526023,12,1.521972
-80.594992,12,1.533703
-76.808341,12,1.545802
-64.909695,12,1.556897
-85.608582,12,1.561906
-36.976992,12,1.57969
-72.29998,12,1.592522
-90.951322,12,1.599912
-81.017519,12,1.616916
-52.454797,12,1.63071
-104.155661,12,1.643221
-77.540278,12,1.651375
-73.640932,12,1.666044
-64.678392,12,1.676362
-45.289932,12,1.688531
-111.738567,12,1.702858
-91.898862,12,1.714966
-107.326746,12,1.729508
4.7141,12,1.741041
-20.230321,12,1.752622
-92.389452,12,1.764755
-82.16716,12,1.776371
-72.818835,12,1.789461
-74.389391,12,1.801488
-67.87887,12,1.811934
-94.340061,12,1.825843
-59.323482,12,1.837374
-17.664985,12,1.852692
-62.933672,12,1.859792
-90.251566,12,1.867344
-108.523566,12,1.88528
-66.461494,12,1.89708
-98.083894,12,1.909987
-87.090861,12,1.920306
15.872355,12,1.933906
-66.696829,12,1.941973
-69.604542,12,1.960555
-54.132946,12,1.970065
-31.553259,12,1.986088
-31.96948,12,1.997398
-88.161225,12,2.002776
-19.250128,12,2.021593
-94.410493,12,2.034657
-60.364339,12,2.046504
-81.60099,12,2.058054
15.904703,12,2.072561
-61.065357,12,2.087317
-17.103492,12,2.101321
-79.69008,12,2.115048
-37.257718,12,2.126766
-66.064541,12,2.138109
-47.845963,12,2.148874
-72.486342,12,2.160967
-50.287277,12,2.174727
-65.568932,12,2.186259
-41.67156,12,2.198047
-96.510604,12,2.209093
-81.584084,12,2.219725
-52.234723,12,2.230765
-79.343805,12,2.242329
-63.870472,12,2.253576
-83.832615,12,2.26523
-15.598039,12,2.276249
-96.14932,12,2.281096
-73.701753,12,2.301493
17.243649,12,2.313709
-62.853026,12,2.326043
-84.56589,12,2.338576
-81.026252,12,2.349957
-114.940892,12,2.36256
-26.051613,12,2.372859
-58.531299,12,2.386214
-91.489801,12,2.399049
-84.550932,12,2.409871
-88.276153,12,2.42153
-74.943368,12,2.432698
-98.894335,12,2.445976
-90.049127,12,2.457828
-74.406734,12,2.469636
-93.190485,12,2.477169
-36.824014,12,2.493291
-96.281787,12,2.505868
-83.632413,12,2.516374
-32.378474,12,2.527684
-96.017239,12,2.538826
-102.852259,12,2.549387
-70.047503,12,2.560521
-99.632184,12,2.573746
-72.37702,12,2.585333
17.92609,12,2.597833
-87.402448,12,2.607911
-68.363288,12,2.62274
-62.254596,12,2.636788
-92.203104,12,2.649066
-69.171865,12,2.659625
-80.538419,12,2.669177
-112.784476,12,2.683708
-45.876093,12,2.692299
-72.464983,12,2.710459
-86.593927,12,2.720495
-17.377458,12,2.733038
-49.731105,12,2.747283
-83.801199,12,2.761098
-74.72288,12,2.77184
-54.047084,12,2.787852
-109.668661,12,2.799708
-57.25842,12,2.84174
-68.70464,12,2.875868
-45.341641,12,2.897625
-84.459367,12,2.91515
-80.596188,12,2.933243
-74.2001,12,2.957482
-37.717498,12,2.976786
-86.176463,12,2.995398
-47.304351,12,3.007308
-85.600814,12,3.018376
-43.451893,12,3.028659
-92.570616,12,3.038717
-98.52502,12,3.053969
-79.870265,12,3.066817
-96.274936,12,3.081237
-92.799528,12,3.095105
-61.717781,12,3.110213
-99.837696,12,3.124824
-67.76497,12,3.133456
-97.105319,12,3.14937
-57.278345,12,3.164667
-104.571331,12,3.180036
-111.039542,12,3.195038
-6.59109,12,3.208622
-32.760661,12,3.220752
-49.019119,12,3.233576
-56.920061,12,3.245554
-69.609653,12,3.258657
-29.494971,12,3.277061
-72.039672,12,3.285455
-63.827245,12,3.305201
-70.408902,12,3.318306
-71.357118,12,3.331246
-67.479978,12,3.342802
-50.143052,12,3.354331
-30.755478,12,3.36937
-87.275333,12,3.377795
-47.062596,12,4.509697
-78.61431,12,4.525982
-88.443417,12,4.539397
-31.860778,12,4.550535
-45.715241,12,4.560749
-53.20178,12,4.572698
-77.055244,12,4.585278
-62.089711,12,4.599545
-89.810571,12,4.610123
-98.109485,12,4.622009
-96.586567,12,4.633195
-45.960446,12,4.644659
-52.812599,12,4.656775
-37.271464,12,4.671439
-62.829043,12,4.684638
-26.852388,12,4.697227
-97.689038,12,4.708498
17.067137,12,4.723947
-6.372536,12,4.735839
-24.386853,12,4.746362
-68.874916,12,4.756466
-3.810278,12,4.768998
-3.397577,12,4.781524
16.389448,12,4.794165
-23.143135,12,4.808006
-69.483332,12,4.818031
-41.011998,12,4.830174
-45.47711,12,4.844134
-39.462813,12,4.857819
-58.240196,12,4.872972
-53.595763,12,4.887618
13.843995,12,4.902973
-40.03367,12,4.918919
-44.391912,12,4.931155
-112.310648,12,4.947254
-0.54889,12,4.961576
-108.98259,12,4.976451
-61.335011,12,4.988838
-46.356088,12,5.00087
-77.359437,12,5.012838
-23.266733,12,5.028737
-25.890987,12,5.03582
-24.717425,12,5.052274
-47.362017,12,5.062522
-104.942256,12,5.073055
-31.019732,12,5.083469
-78.358108,12,5.095559
-70.528179,12,5.10775
-79.046959,12,5.118014
-19.430964,12,5.133519
-69.731289,12,5.147086
-54.063945,12,5.159852
-104.220728,12,5.171765
-110.654623,12,5.177869
-76.192276,12,5.188354
-67.574538,12,5.203665
5.614703,12,5.219331
-70.678427,12,5.229149
-95.118207,12,5.248487
-60.002705,12,5.262476
-52.54603,12,5.27257
-54.422684,12,5.281317
-59.708444,12,5.293299
-107.635288,12,5.301837
-74.964772,12,5.311922
-43.476627,12,5.332093
-80.892143,12,5.346195
-67.197774,12,5.355345
-36.82964,12,5.371336
-13.371671,12,5.38712
8.215428,12,5.399384
-12.056834,12,5.415067
-22.293087,12,5.427718
-77.470761,12,5.435963
-21.3694,12,5.454329
-84.712847,12,5.46598
6.891618,12,5.47685
-8.03139,12,5.492595
-72.625533,12,5.50859
-26.34719,12,5.526159
-94.007945,12,5.536084
-89.607445,12,5.547279
-53.693319,12,5.562896
-69.548984,12,5.576146
-77.549042,12,5.589548
-81.657768,12,5.603691
7.265754,12,5.611939
-66.882567,12,5.625609
-61.512092,12,5.636808
-60.653742,12,5.650114
-70.841348,12,5.663378
1.270226,12,5.674508
-92.826514,12,5.685579
-77.736388,12,5.69438
-41.729665,12,5.704211
-76.52411,12,5.714388
-49.530558,12,5.727806
-69.451465,12,5.739992
-85.909904,12,5.752066
-30.888182,12,5.765636
-50.326188,12,5.776138
-75.253543,12,5.787044
-100.605641,12,5.804964
-31.64681,12,5.81879
-38.549783,12,5.828576
-65.923087,12,5.843863
-86.554438,12,5.854963
-31.643378,12,5.868228
-76.195805,12,5.879424
-95.208669,12,5.891989
-97.004952,12,5.90229
-73.181188,12,5.921011
-41.129396,12,5.934139
-46.518745,12,5.947772
-41.461737,12,5.956261
-29.383495,12,5.972066
-95.725236,12,5.984608
-75.094971,12,6.001283
-44.301483,12,6.013358
2.836172,12,6.026052
-55.714663,12,6.04213
-82.20122,12,6.056892
-71.774446,12,6.071608
-83.119027,12,6.086512
-81.959344,12,6.097309
-30.111279,12,6.117108
-85.571556,12,6.128007
-24.862545,12,6.140012
8.680932,12,6.15567
-91.128756,12,6.165286
-77.831064,12,6.179385
-59.351903,12,6.191898
-28.208347,12,6.206714
-53.007078,12,6.221203
-53.804995,12,6.234493
-23.85379,12,6.249078
-96.394309,12,6.265389
-13.548247,12,6.276982
-38.160062,12,6.295263
-32.320294,12,6.309341
