#{"t_start": 1768156324.5755203, "env_id": "None"}
r,l,t
-274.775933,12,1.416239
-200.517625,12,1.44001
-302.232556,12,1.462515
-419.238916,12,1.483737
-313.129191,12,1.51481
-433.649805,12,1.535424
-422.710587,12,1.560035
-331.288857,12,1.579561
-314.158893,12,1.599711
-228.076943,12,1.62681
-149.123834,12,1.647514
-385.226084,12,1.673628
-278.646465,12,1.688831
-199.585847,12,1.720061
-283.296165,12,1.746823
-241.46437,12,1.762945
-338.413354,12,1.781821
-288.478171,12,1.810393
-225.548163,12,1.831467
-334.965248,12,1.857737
-346.560577,12,1.882771
-123.265623,12,1.907181
-282.947169,12,1.928038
-209.565684,12,1.955345
-342.708372,12,1.973739
-367.689009,12,1.995788
-251.416486,12,2.018442
-270.048292,12,2.038894
-320.867727,12,2.061384
-416.373446,12,2.084407
-227.318596,12,2.10458
-366.560936,12,2.124262
-303.07838,12,2.145213
-316.587005,12,2.168045
-304.147461,12,2.196133
-350.13712,12,2.209197
-236.099427,12,2.236528
-353.383821,12,2.252414
-96.735718,12,2.281139
-393.026018,12,2.304751
-243.413066,12,2.323936
-274.686694,12,2.347975
-318.803589,12,2.36738
-319.276055,12,2.389598
-356.460185,12,2.414057
-326.442912,12,2.432667
-359.136585,12,2.454799
-217.46244,12,2.474598
-307.199097,12,2.494527
-333.571051,12,2.521139
-391.860531,12,2.53944
-328.18714,12,2.558784
-289.740591,12,2.579795
-265.85998,12,2.598159
-356.988564,12,2.624029
-284.741177,12,2.645589
-343.925622,12,2.664473
-403.02781,12,2.687243
-296.006091,12,2.703719
