#{"t_start": 1768154564.1193676, "env_id": "None"}
r,l,t
-194.08756,12,9.296701
-144.561395,12,9.317665
-229.354001,12,9.341983
-140.322634,12,9.361111
-78.721307,12,9.385761
-235.0817,12,9.399555
-117.720612,12,9.420021
-210.167543,12,9.452955
-237.670087,12,9.476903
-200.765511,12,9.502411
-198.953266,12,9.529568
-248.18921,12,9.554763
-171.785235,12,9.583434
-107.307889,12,9.597583
-188.686119,12,9.622892
-142.734301,12,9.635261
-174.873628,12,9.662927
-150.145765,12,9.690893
-147.49881,12,9.709846
-220.810613,12,9.732975
-258.7254,12,9.749141
-215.770854,12,9.770729
-186.339124,12,9.792419
-176.28814,12,9.820884
-208.764623,12,9.834561
-172.041242,12,9.865331
-154.908397,12,9.887611
-163.366039,12,9.916745
-198.952699,12,9.937462
-263.268991,12,9.958772
-174.076412,12,9.980524
-157.57555,12,10.008461
-183.040728,12,10.035002
-185.675325,12,10.051497
-167.744884,12,10.079854
-212.47548,12,10.099298
-151.431317,12,10.124074
-190.893983,12,10.144729
-179.894643,12,10.166096
-121.924446,12,10.18652
-127.557912,12,10.213379
-158.733405,12,10.240916
-204.755794,12,10.260724
-222.491415,12,10.284397
-181.685844,12,10.302462
-120.490749,12,10.322618
-114.00273,12,10.353956
-131.737275,12,10.377173
-159.500021,12,10.398276
-206.67546,12,10.416902
-176.972467,12,10.437474
-223.985533,12,10.466991
-165.545293,12,10.485324
-165.160663,12,10.508453
-147.151934,12,10.527793
-96.702254,12,10.549148
-178.446861,12,10.571923
-159.644334,12,10.59422
-161.557318,12,10.612581
-100.081926,12,10.635183
-203.466301,12,10.658413
-178.300818,12,10.680624
-183.575295,12,10.703066
-188.262125,12,10.729776
-131.657553,12,10.754796
-131.339909,12,10.780526
-138.444792,12,10.798908
-162.935362,12,10.825629
-113.176862,12,10.845827
-191.322579,12,10.872194
-120.64811,12,10.9021
-186.109206,12,10.925381
-183.132727,12,10.953652
-205.988755,12,10.97759
-152.916699,12,11.008473
-222.913721,12,11.034792
-208.29917,12,11.05964
-204.248484,12,11.08343
-83.280287,12,11.121285
-187.605242,12,11.158443
-174.325488,12,11.19295
-106.744146,12,11.225728
-169.275183,12,11.251651
-180.145219,12,11.275301
-138.455427,12,11.300968
-146.188686,12,11.325845
-132.575799,12,11.356296
-164.537106,12,11.379897
-120.943331,12,11.403883
-138.622384,12,11.431209
-194.254771,12,11.463614
-160.812552,12,11.487536
-176.574537,12,11.510233
-144.812392,12,11.531956
-187.087578,12,11.553026
-217.973681,12,11.578023
-186.750498,12,11.599667
-166.86137,12,11.625793
-124.063974,12,13.633574
-137.035206,12,13.658621
-249.291875,12,13.68633
-154.816915,12,13.703142
-169.030182,12,13.734522
-162.101559,12,13.761365
-116.501193,12,13.789731
